Parts,Datasheet,Catalog Parts,series,Spice,Package,Package Length (mm),Package Width (mm),Package Thickness (mm),VR [Max] (V),IF(AV) [Max] (mA),IFSM [Max] (A),VF [Typ] (V),VF [Max] (V),IR [Typ] (uA),IR [Max] (uA),Ct [Typ] (pF),trr [Typ] (ns),Tj [Max] (C),Tstg (C),RoHS compliant *1,REACH compliant *2,Halogen Free
DB3Y501KEL,http://www.semicon.panasonic.co.jp/ds4/DB3Y501K_E.pdf,DB3Y501K,Schottky barrier,N/A,NMini3-R1-B,2.9,2.4,1,50,200,1,-,0.55,-,200,4,1.6,125,-55 to +125,Compliant,SVHC not included,Yes
DB4J310K0R,http://www.semicon.panasonic.co.jp/ds4/DB4J310K_E.pdf,DB4J310K,Schottky barrier,Available,SMini4-F3-B,2.1,2,0.7,30,200,1,-,0.47,-,200,4.5,1.6,125,-55 to +125,Compliant,SVHC not included,Yes
DB4J314K0R,http://www.semicon.panasonic.co.jp/ds4/DB4J314K_E.pdf,DB4J314K,Schottky barrier,Available,SMini4-F3-B,2.1,2,0.7,30,30,-,-,1,-,0.3,1.5,1,125,-55 to +125,Compliant,SVHC not included,Yes
DB4J406K0R,http://www.semicon.panasonic.co.jp/ds4/DB4J406K_E.pdf,DB4J406K,Schottky barrier,Available,SMini4-F3-B,2.1,2,0.7,40,100,1,-,0.6,-,5,2.2,0.9,125,-55 to +125,Compliant,SVHC not included,Yes
DB4X313F0R,http://www.semicon.panasonic.co.jp/ds4/DB4X313F_E.pdf,DB4X313F,Schottky barrier,Available,Mini4-G4-B,2.9,2.8,1.1,30,200,1,-,0.55,-,50,3.8,1.5,125,-55 to +125,Compliant,SVHC not included,Yes
DB4X313K0R,http://www.semicon.panasonic.co.jp/ds4/DB4X313K_E.pdf,DB4X313K,Schottky barrier,Available,Mini4-G4-B,2.9,2.8,1.1,30,200,1,-,0.55,-,50,3.8,1.5,125,-55 to +125,Compliant,SVHC not included,Yes
DB4X314F0R,http://www.semicon.panasonic.co.jp/ds4/DB4X314F_E.pdf,DB4X314F,Schottky barrier,Available,Mini4-G4-B,2.9,2.8,1.1,30,30,-,-,1,-,0.3,1.5,1,125,-55 to +125,Compliant,SVHC not included,Yes
DB4X314K0R,http://www.semicon.panasonic.co.jp/ds4/DB4X314K_E.pdf,DB4X314K,Schottky barrier,Available,Mini4-G4-B,2.9,2.8,1.1,30,30,-,-,1,-,0.3,1.5,1,125,-55 to +125,Compliant,SVHC not included,Yes
DB4X501K0R,http://www.semicon.panasonic.co.jp/ds4/DB4X501K_E.pdf,DB4X501K,Schottky barrier,Available,Mini4-G4-B,2.9,2.8,1.1,50,200,1,-,0.55,-,200,4,1.6,125,-55 to +125,Compliant,SVHC not included,Yes
DB5H206K0L,http://www.semicon.panasonic.co.jp/ds4/DB5H206K_E.pdf,DB5H206K,Schottky barrier,Available,WSMini5-F1-B,2.1,2,0.7,20,1000,3,-,0.45,-,100,20,6,125,-55 to +125,Compliant,SVHC not included,Yes
DB5H411K0L,http://www.semicon.panasonic.co.jp/ds4/DB5H411K_E.pdf,DB5H411K,Schottky barrier,Available,WSMini5-F1-B,2.1,2,0.7,40,1000,3,0.5,0.58,15,100,21,6.8,125,-55 to +125,Compliant,SVHC not included,Yes
DB5S308K0R,http://www.semicon.panasonic.co.jp/ds4/DB5S308K_E.pdf,DB5S308K,Schottky barrier,Available,SSMini5-F4-B,1.6,1.2,0.6,30,100,1,-,0.42,-,120,2.9,1.3,125,-55 to +125,Compliant,SVHC not included,Yes
DB5S309K0R,http://www.semicon.panasonic.co.jp/ds4/DB5S309K_E.pdf,DB5S309K,Schottky barrier,Available,SSMini5-F4-B,1.6,1.2,0.6,30,100,1,-,0.58,-,2,3,1.3,125,-55 to +125,Compliant,SVHC not included,Yes
DB5S310K0R,http://www.semicon.panasonic.co.jp/ds4/DB5S310K_E.pdf,DB5S310K,Schottky barrier,Available,SSMini5-F4-B,1.6,1.2,0.6,30,200,1,-,0.47,-,200,4.5,1.6,125,-55 to +125,Compliant,SVHC not included,Yes
DB5S406K0R,http://www.semicon.panasonic.co.jp/ds4/DB5S406K_E.pdf,DB5S406K,Schottky barrier,Available,SSMini5-F4-B,1.6,1.2,0.6,40,100,1,-,0.6,-,5,2.2,0.9,125,-55 to +125,Compliant,SVHC not included,Yes
DB6J314K0R,http://www.semicon.panasonic.co.jp/ds4/DB6J314K_E.pdf,DB6J314K,Schottky barrier,Available,SMini6-F3-B,2.1,2,0.7,30,30,-,-,1,-,0.3,1.5,1,125,-55 to +125,Compliant,SVHC not included,Yes
DB6J316K0R,http://www.semicon.panasonic.co.jp/ds4/DB6J316K_E.pdf,DB6J316K,Schottky barrier,Available,SMini6-F3-B,2.1,2,0.7,30,100,1,-,0.55,-,15,2,0.8,125,-55 to +125,Compliant,SVHC not included,Yes
DB6X314K0R,http://www.semicon.panasonic.co.jp/ds4/DB6X314K_E.pdf,DB6X314K,Schottky barrier,Available,Mini6-G4-B,2.9,2.8,1.1,30,30,-,-,1,-,0.3,1.5,1,125,-55 to +125,Compliant,SVHC not included,Yes
